Code,CPU name,CPU type,Socket,DDR4 bandwidth,DDR5 bandwidth,Power draw (W),Price,Stock,Description
C001,i9-13900KS,Intel Core i9,LGA1700,3200,5600,253,700,50,
C002,i9-13900K,Intel Core i9,LGA1700,3200,5600,253,589,50,
C003,i9-13900KF,Intel Core i9,LGA1700,3200,5600,253,564,50,
C004,i9-13900,Intel Core i9,LGA1700,3200,5600,200,529,50,
C005,i9-13900F,Intel Core i9,LGA1700,3200,5600,200,529,50,
C006,i7-13700K,Intel Core i7,LGA1700,3200,5600,253,409,50,
C007,i7-13700KF,Intel Core i7,LGA1700,3200,5600,253,384,50,
C008,i7-13700,Intel Core i7,LGA1700,3200,5600,200,354,50,
C009,i7-13700F,Intel Core i7,LGA1700,3200,5600,200,354,50,
C010,i5-13600K,Intel Core i5,LGA1700,3200,5600,181,319,50,
C011,i5-13600KF,Intel Core i5,LGA1700,3200,5600,181,294,50,
C012,i5-12600K,Intel Core i5,LGA1700,3200,4800,150,204,50,
C013,i5-12600,Intel Core i5,LGA1700,3200,4800,150,204,50,
C014,i5-12400,Intel Core i5,LGA1700,3200,4800,120,169,50,
C015,i5-12400F,Intel Core i5,LGA1700,3200,4800,120,169,50,
C016,i3-12100,Intel Core i3,LGA1700,3200,4800,88,109,50,
C017,i3-12100F,Intel Core i3,LGA1700,3200,4800,88,109,50,
C018,7950X,Ryzen,AM5,0,5200,170,169,50,
C019,7900X,Ryzen,AM5,0,5200,170,169,50,
C020,7700X,Ryzen,AM5,0,5200,105,169,50,
C021,7600X,Ryzen,AM5,0,5200,105,169,50,
C022,5600,Ryzen,AM4,3200,0,65,169,50,
C023,5600X,Ryzen,AM4,3200,0,65,169,50,
C024,5700X,Ryzen,AM4,3200,0,65,169,50,
C025,5800,Ryzen,AM4,3200,0,65,169,50,
C026,5800X,Ryzen,AM4,3200,0,105,169,50,
C027,5800X3D,Ryzen,AM4,3200,0,105,169,50,
C028,5900,Ryzen,AM4,3200,0,65,169,50,
C029,5900X,Ryzen,AM4,3200,0,105,169,50,
C030,5950X,Ryzen,AM4,3200,0,105,169,50,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
